id,name,section,enrollmentCode
867776937557,10. 10 клас. Екстернат (2026-2027),,cizgmo3z
867789158503,11. 11 клас. Екстернат (2026-2027),,hpwlgqb7
867782160104,09. 9-Г клас. Фізична культура (2026-2027),,zlyd44f6
867785655043,09. 9-Г клас. Основи християнської етики (2026-2027),,2ehd2wxn
867786686257,09. 9-Г клас. Здоров'я безпека та добробут (2026-2027),,3ad6erym
867785809092,09. 9-Г клас. Технології (2026-2027),,5zo34acb
867787075409,09. 9-Г клас. Мистецтво (2026-2027),,ialpngfc
867786926822,09. 9-Г клас. Інформатика (2026-2027),,hvlo6ghh
867786590550,09. 9-Г клас. Фізика (2026-2027),,mqd2uolo
867786213276,09. 9-Г клас. Географія (2026-2027),,ofeot6bz
867787145512,09. 9-Г клас. Хімія (2026-2027),,ji7javuq
867786993926,09. 9-Г клас. Біологія (2026-2027),,abmlmn4c
867785963184,09. 9-Г клас. Геометрія (2026-2027),,dzzzveuv
867786306662,09. 9-Г клас. Алгебра (2026-2027),,stlb5igu
867785936205,09. 9-Г клас. Всесвітня історія (2026-2027),,getmzopg
867777141608,09. 9-Г клас. Основи правознавства (2026-2027),,ufhx4427
867786853992,09. 9-Г клас. Історія України (2026-2027),,z3inxbch
867787201201,09. 9-Г клас. Друга іноземна мова (Німецька) (2026-2027),,afgp5lj3
867787487737,09. 9-Г клас. Англійська мова (2026-2027),,onlk422b
867786775622,09. 9-Г клас. Українська мова (2026-2027),,evhmhyhf
867786374553,09. 9-Г клас. Українська література (2026-2027),,brsi3mqj
867785784611,09. 9-Г клас. Зарубіжна література (2026-2027),,26jvku3t
867787101828,09. 9-В клас. Основи християнської етики (2026-2027),,ej4wabc3
867782160083,09. 9-В клас. Фізична культура (2026-2027),,u5wm5lrf
867787509567,09. 9-В клас. Здоров'я безпека та добробут (2026-2027),,5t327fhq
867787323494,09. 9-В клас. Технології (2026-2027),,pbzi2dxf
867786249893,09. 9-В клас. Мистецтво (2026-2027),,7q5asx5b
867786788433,09. 9-В клас. Інформатика (2026-2027),,sorpca73
867787176480,09. 9-В клас. Хімія (2026-2027),,n3lohy6y
867786375734,09. 9-В клас. Фізика (2026-2027),,n3aiojwa
867784872034,09. 9-В клас. Біологія (2026-2027),,6gdedtp4
867786828855,09. 9-В клас. Географія (2026-2027),,uwdpse7k
867786086158,09. 9-В клас. Геометрія (2026-2027),,psvwzzyi
867786289446,09. 9-В клас. Алгебра (2026-2027),,gayytijx
867787227627,09. 9-В клас. Основи правознавства (2026-2027),,5rjxs7ky
867787104336,09. 9-В клас. Історія України (2026-2027),,hu7uol7p
798182730924,09. 9-В клас. Всесвітня історія (2026-2027),,zqh3iksk
867786244043,09. 9-В клас. Друга іноземна мова (Німецька) (2026-2027),,ibwboi3s
867787083726,09. 9-В клас. Англійська мова (2026-2027),,6rsub4tv
867783488698,09. 9-В клас. Зарубіжна література (2026-2027),,x25kez3s
867786997803,09. 9-В клас. Українська мова (2026-2027),,xx7iyj5v
867786895917,09. 9-В клас. Українська література (2026-2027),,5cdgxlyi
867787178745,09. 9-Б клас. Основи християнської етики (2026-2027),,b2un2egg
867786496575,09. 9-Б клас. Фізична культура (2026-2027),,4yh53zjh
867786000656,09. 9-Б клас. Технології (2026-2027),,oxrbdpro
867785486255,09. 9-Б клас. Мистецтво (2026-2027),,tlp67ean
867786786402,09. 9-Б клас. Здоров'я безпека та добробут (2026-2027),,2z2hnooj
867787578814,09. 9-Б клас. Хімія (2026-2027),,35mehwyd
867786773337,09. 9-Б клас. Інформатика (2026-2027),,g5jlv46m
867785721891,09. 9-Б клас. Фізика (2026-2027),,6sdczyby
867776422164,09. 9-Б клас. Біологія (2026-2027),,xb4xfkab
798182757897,09. 9-Б клас. Географія (2026-2027),,x7oblh4t
867786358395,09. 9-Б клас. Геометрія (2026-2027),,n4rpwbdd
867787218389,09. 9-Б клас. Алгебра (2026-2027),,nttxbfpv
867786283682,09. 9-Б клас. Всесвітня історія (2026-2027),,vutajkyf
867786884316,09. 9-Б клас. Історія України (2026-2027),,5nfi77f2
867786418185,09. 9-Б клас. Основи правознавства (2026-2027),,jph3nuyn
867778951804,09. 9-Б клас. Друга іноземна мова (Німецька) (2026-2027),,eboa3ino
867787078413,09. 9-Б клас. Українська література (2026-2027),,f2ehmfqr
867787238281,09. 9-Б клас. Зарубіжна література (2026-2027),,otoj32y3
867786392178,09. 9-Б клас. Англійська мова (2026-2027),,nsiqmdjx
867786590511,09. 9-Б клас. Українська мова (2026-2027),,7kkrdt3v
867786003267,09. 9-А клас. Фізична культура (2026-2027),,uahlflfa
867787200754,09. 9-А клас. Основи християнської етики (2026-2027),,h64lxca5
867785609614,09. 9-А клас. Здоров'я безпека та добробут (2026-2027),,oci5x753
867783897968,09. 9-А клас. Технології (2026-2027),,4c6xfeqz
867786626279,09. 9-А клас. Мистецтво (2026-2027),,akkc72s6
867786796019,09. 9-А клас. Інформатика (2026-2027),,cxu4yu5j
867786849851,09. 9-А клас. Хімія (2026-2027),,wionston
867786686999,09. 9-А клас. Біологія (2026-2027),,thdb6tph
867787010260,09. 9-А клас. Фізика (2026-2027),,akcffrbw
867785549520,09. 9-А клас. Географія (2026-2027),,2htrhdjg
867786318073,09. 9-А клас. Всесвітня історія (2026-2027),,lf7t56pa
867786632646,09. 9-А клас. Історія України (2026-2027),,wcy7nrqe
867786784658,09. 9-А клас. Алгебра (2026-2027),,qmeqx7wo
867786492937,09. 9-А клас. Основи правознавства (2026-2027),,kuj3r2fn
867786468876,09. 9-А клас. Геометрія (2026-2027),,46yf4x3w
798182761202,09. 9-А клас. Українська мова (2026-2027),,pjysncxd
867781819138,09. 9-А клас. Українська література (2026-2027),,kecin47z
867787147226,09. 9-А клас. Друга іноземна мова (Німецька) (2026-2027),,csaiovea
867786127462,09. 9-А клас. Англійська мова (2026-2027),,nlkslict
867786402913,09. 9-А клас. Зарубіжна література (2026-2027),,yvekvyl5
867785971111,09. 9 клас. Екстернат (2026-2027),,as2hkkzv
867774223740,08. 8-Г клас. Основи християнської етики (2026-2027),,vvyftqt5
867773305349,08. 8-Г клас. Фізична культура (2026-2027),,os6iu2td
867772181521,08. 8-Г клас. Здоров'я безпека та добробут (2026-2027),,5uizxwf4
867774182736,08. 8-Г клас. Технології (2026-2027),,nuuhsxd7
867774122525,08. 8-Г клас. Мистецтво (2026-2027),,5godnwvt
867773924931,08. 8-Г клас. Інформатика (2026-2027),,rgya7vlp
867771594798,08. 8-Г клас. Хімія (2026-2027),,apk5ibh7
867773940405,08. 8-Г клас. Фізика (2026-2027),,caferzi3
867774483586,08. 8-Г клас. Географія (2026-2027),,jur4gpfe
855102311558,08. 8-Г клас. Біологія (2026-2027),,akjbb2dm
867773139942,08. 8-Г клас. Алгебра (2026-2027),,w7guwgjk
867773944734,08. 8-Г клас. Геометрія (2026-2027),,dyrbqkyv
867774054220,08. 8-Г клас. Всесвітня історія (2026-2027),,yxz6osri
867773065413,08. 8-Г клас. Друга іноземна мова (Німецька) (2026-2027),,ljptu5az
855102447799,08. 8-Г клас. Історія України (2026-2027),,6cctywxt
867772127240,08. 8-Г клас. Англійська мова (2026-2027),,qmysi54y
867773975059,08. 8-Г клас. Зарубіжна література (2026-2027),,mtqxfba4
867774302044,08. 8-Г клас. Українська література (2026-2027),,af27izfj
867773633196,08. 8-Г клас. Українська мова (2026-2027),,lgmenjcb
867774361523,08. 8-В клас. Здоров'я безпека та добробут (2026-2027),,bo5gzaen
867774101037,08. 8-В клас. Основи християнської етики (2026-2027),,dbwxvskl
867773856296,08. 8-В клас. Фізична культура (2026-2027),,ydnqq6te
855102224542,08. 8-В клас. Технології (2026-2027),,vltb23dl
867774095517,08. 8-В клас. Мистецтво (2026-2027),,legfeimm
867773792680,08. 8-В клас. Інформатика (2026-2027),,fd5yoaoj
867774137225,08. 8-В клас. Хімія (2026-2027),,o32aybxt
867773120448,08. 8-В клас. Фізика (2026-2027),,w6sdv6zt
867762876220,08. 8-В клас. Біологія (2026-2027),,x5k2pzmi
867773901538,08. 8-В клас. Географія (2026-2027),,h2aywmwe
867774176939,08. 8-В клас. Алгебра (2026-2027),,y7zxuiu4
867772725310,08. 8-В клас. Геометрія (2026-2027),,kf43lvzi
867769660591,08. 8-В клас. Історія України (2026-2027),,wnma4brf
867774030578,08. 8-В клас. Друга іноземна мова (Німецька) (2026-2027),,4uedohop
867773979149,08. 8-В клас. Всесвітня історія (2026-2027),,optaj5vm
867774280674,08. 8-В клас. Англійська мова (2026-2027),,tjeocsjs
867772403716,08. 8-В клас. Зарубіжна література (2026-2027),,7xkgbjho
867773801949,08. 8-В клас. Українська мова (2026-2027),,z6u74jme
867774106412,08. 8-В клас. Українська література (2026-2027),,iczv22l2
867773278506,08. 8-Б клас. Основи християнської етики (2026-2027),,gduvcqyu
867773988532,08. 8-Б клас. Здоров'я безпека та добробут (2026-2027),,dtwt74mn
867774166476,08. 8-Б клас. Фізична культура (2026-2027),,7zp2ltao
867774185813,08. 8-Б клас. Технології (2026-2027),,ra5zgqzl
867773948610,08. 8-Б клас. Мистецтво (2026-2027),,zj5xplhk
867773579251,08. 8-Б клас. Фізика (2026-2027),,wk2utvu3
867773683352,08. 8-Б клас. Інформатика (2026-2027),,74wxac34
867773980942,08. 8-Б клас. Хімія (2026-2027),,eo5gilqc
867773751988,08. 8-Б клас. Географія (2026-2027),,s6pxfvdh
867774242927,08. 8-Б клас. Біологія (2026-2027),,e4bi5mdj
867764268251,08. 8-Б клас. Геометрія (2026-2027),,sypjmtgr
867772282143,08. 8-Б клас. Алгебра (2026-2027),,rcrbghvl
867773315325,08. 8-Б клас. Всесвітня історія (2026-2027),,b6z22zkl
867773261198,08. 8-Б клас. Друга іноземна мова (Німецька) (2026-2027),,djuwczdt
867773742881,08. 8-Б клас. Англійська мова (2026-2027),,gkxuuywv
867773366118,08. 8-Б клас. Історія України (2026-2027),,qo3nt37t
867773160529,08. 8-Б клас. Українська література (2026-2027),,syyym4vw
867773585772,08. 8-Б клас. Зарубіжна література (2026-2027),,7p3kqffj
867772849093,08. 8-Б клас. Українська мова (2026-2027),,3242strf
867772403705,08. 8-А клас. Основи християнської етики (2026-2027),,dilj7z57
867773945053,08. 8-А клас. Технології (2026-2027),,f42hxpjy
867773696159,08. 8-А клас. Фізична культура (2026-2027),,qvaufecm
867773485997,08. 8-А клас. Здоров'я безпека та добробут (2026-2027),,gj2lh3mi
867773732275,08. 8-А клас. Фізика (2026-2027),,pjrql32s
867774011839,08. 8-А клас. Хімія (2026-2027),,mpmitg3g
867773267059,08. 8-А клас. Мистецтво (2026-2027),,oy2tzhgq
867773937691,08. 8-А клас. Інформатика (2026-2027),,dxwqid7p
867773661733,08. 8-А клас. Географія (2026-2027),,dks3xzoz
867773833954,08. 8-А клас. Алгебра (2026-2027),,izru7zml
867774191529,08. 8-А клас. Біологія (2026-2027),,jg5zups2
867773763500,08. 8-А клас. Історія України (2026-2027),,kggtwbud
867770411183,08. 8-А клас. Геометрія (2026-2027),,4fscrkdd
867774045136,08. 8-А клас. Всесвітня історія (2026-2027),,ztrxgul4
867773065393,08. 8-А клас. Англійська мова (2026-2027),,qut62ti6
867773510080,08. 8-А клас. Українська література (2026-2027),,7epf23fy
867772365413,08. 8-А клас. Українська мова (2026-2027),,g6sx4bfq
867773702884,08. 8-А клас. Друга іноземна мова (Німецька) (2026-2027),,3v4tvsy3
867766353367,08. 8-А клас. Зарубіжна література (2026-2027),,ojbkzgcf
867773165375,08. 8 клас. Екстернат (2026-2027),,ngruzjnw
867772213059,07. 7-Г клас. Основи християнської етики (2026-2027),,34ge7noe
867772093943,07. 7-Г клас. Фізична культура (2026-2027),,nxnqjrzr
867771801761,07. 7-Г клас. Здоров'я безпека та добробут (2026-2027),,nvojv32g
867772530601,07. 7-Г клас. Технології (2026-2027),,4tf6emed
867772006510,07. 7-Г клас. Мистецтво (2026-2027),,n75nbo3e
867772226483,07. 7-Г клас. Інформатика (2026-2027),,4cycldqe
867767778417,07. 7-Г клас. Біологія (2026-2027),,7q7c76qo
867771932205,07. 7-Г клас. Хімія (2026-2027),,5shqjx5i
867770643194,07. 7-Г клас. Географія (2026-2027),,wqbcnlup
867771865038,07. 7-Г клас. Геометрія (2026-2027),,rdqgwixh
867772032491,07. 7-Г клас. Фізика (2026-2027),,k6v5j4fd
867770765403,07. 7-Г клас. Англійська мова (2026-2027),,w56hs6vx
867772037425,07. 7-Г клас. Друга іноземна мова (Німецька) (2026-2027),,r23i2gxg
867772282508,07. 7-Г клас. Історія України (2026-2027),,4rs7shyg
867761751478,07. 7-Г клас. Алгебра (2026-2027),,wpzmve7a
